onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
16	5	25.0	36.5	69.0	58.0	28.5	clip_1
45	6	0.0	0.0	0.0	88.5	38.5	clip_2
80	6	57.5	57.5	70.0	16.0	0.0	clip_3
110	7	58.0	73.0	0.0	70.0	70.0	clip_4
140	6	60.0	67.0	34.5	22.5	0.0	clip_5
173	7	71.0	71.0	22.5	0.0	0.0	clip_6
193	6	91.5	91.5	91.5	0.0	0.0	clip_7
225	5	63.5	70.5	28.0	0.0	0.0	clip_8
243	5	14.0	14.0	0.0	0.0	0.0	clip_9
250	8	0.0	0.0	0.0	0.0	0.0	clip_10
270	4	0.0	0.0	0.0	78.0	54.0	clip_11
310	6	22.0	13.0	13.0	4.0	4.0	clip_12
328	10	11.5	14.0	43.0	0.0	0.0	clip_13
360	6	35.5	41.5	16.5	16.5	16.5	clip_14
397	7	0.0	0.0	0.0	0.0	0.0	clip_15
440	5	62.5	36.5	59.0	18.0	0.0	clip_16
452	8	30.0	30.0	8.0	0.0	0.0	clip_17
478	6	43.5	23.0	41.5	55.0	0.0	clip_18
