onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
15	9	0.0	0.0	0.0	0.0	0.0	clip_1
35	5	0.0	0.0	0.0	0.0	0.0	clip_2
63	6	0.0	0.0	0.0	0.0	0.0	clip_3
116	7	100.0	100.0	100.0	100.0	100.0	clip_4
162	8	7.0	7.0	7.0	7.0	91.0	clip_5
185	7	93.0	93.0	93.0	93.0	93.0	clip_6
203	5	0.0	79.5	79.5	79.5	79.5	clip_7
248	7	0.0	0.0	0.0	0.0	0.0	clip_8
286	8	0.0	0.0	0.0	0.0	0.0	clip_9
333	7	27.5	82.5	82.5	82.5	97.0	clip_10
360	7	100.0	100.0	100.0	100.0	100.0	clip_11
383	7	93.0	74.5	96.5	96.5	96.5	clip_12
412	6	0.0	0.0	0.0	0.0	0.0	clip_13
470	9	50.0	16.5	2.5	2.5	2.5	clip_14
517	6	90.5	90.5	90.5	90.5	90.5	clip_15
543	7	1.0	1.0	1.0	1.0	1.0	clip_16
584	8	0.0	0.0	0.0	0.0	0.0	clip_17
627	6	82.5	82.5	85.5	89.5	100.0	clip_18
648	6	0.0	0.0	3.5	3.5	19.0	clip_19
694	7	98.0	98.0	98.0	98.0	98.0	clip_20
743	8	0.0	100.0	100.0	100.0	100.0	clip_21
785	7	0.0	97.0	97.0	97.0	97.0	clip_22
801	6	0.0	88.0	88.0	88.0	88.0	clip_23
