onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
6	5	67.5	67.5	36.0	60.0	46.5	clip_1
29	5	50.0	50.0	57.5	26.5	41.0	clip_2
60	6	50.0	50.0	49.0	55.5	44.5	clip_3
82	7	72.0	72.0	34.5	54.0	44.0	clip_4
113	6	67.0	66.0	33.0	33.0	46.5	clip_5
134	6	58.0	58.0	20.5	78.0	44.5	clip_6
166	9	50.0	50.0	34.0	71.5	37.0	clip_7
196	8	54.0	54.0	43.0	66.5	54.0	clip_8
239	8	66.5	66.5	42.0	67.5	43.5	clip_9
267	9	50.0	50.0	34.5	67.0	35.0	clip_10
307	10	57.0	57.0	43.0	64.5	49.0	clip_11
352	8	50.0	50.0	50.0	65.0	45.5	clip_12
392	6	66.5	66.5	35.5	65.5	43.5	clip_13
405	7	68.0	68.0	35.0	67.5	42.0	clip_14
443	8	50.0	50.0	26.5	66.5	43.5	clip_15
507	9	62.5	62.5	33.5	65.5	47.0	clip_16
532	7	59.5	59.5	35.5	60.0	45.0	clip_17
570	7	50.0	50.0	40.5	62.5	39.0	clip_18
598	9	50.0	50.0	36.5	67.5	49.0	clip_19
645	8	63.5	63.5	36.0	67.5	55.0	clip_20
674	5	50.0	50.0	38.0	62.0	48.0	clip_21
707	9	66.5	66.5	40.0	62.0	50.0	clip_22
740	7	48.0	48.0	50.0	37.0	46.5	clip_23
776	10	50.0	50.0	35.5	72.0	50.5	clip_24
803	5	50.0	50.0	33.0	63.5	46.5	clip_25
829	7	60.0	60.0	42.0	65.0	47.0	clip_26
864	6	50.0	50.0	35.5	76.0	50.5	clip_27
910	8	50.0	50.0	33.5	74.0	49.5	clip_28
955	10	50.0	50.0	35.5	68.0	42.5	clip_29
972	7	50.0	50.0	27.0	73.0	45.0	clip_30
986	6	50.0	50.0	29.0	69.5	39.0	clip_31
