onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
6	5	74.5	50.0	57.0	51.0	51.0	clip_1
29	5	61.5	27.0	67.0	62.5	58.0	clip_2
60	6	62.0	60.0	58.0	36.5	66.5	clip_3
82	7	72.0	40.5	56.5	58.5	63.0	clip_4
113	6	62.0	62.0	47.5	29.0	36.0	clip_5
134	6	56.5	53.5	57.5	54.5	38.5	clip_6
166	9	68.5	53.5	37.5	73.0	37.0	clip_7
196	8	66.0	49.5	44.5	75.5	39.0	clip_8
239	8	73.5	51.0	51.0	66.0	49.0	clip_9
267	9	56.0	53.5	46.0	46.0	31.0	clip_10
307	10	70.5	65.0	68.0	68.0	39.0	clip_11
352	8	70.0	34.5	34.5	46.5	39.0	clip_12
392	6	71.0	31.0	35.5	64.0	27.0	clip_13
405	7	70.5	38.5	55.5	55.5	51.0	clip_14
443	8	50.0	26.5	26.5	81.5	28.5	clip_15
507	9	74.0	37.5	62.0	74.0	38.5	clip_16
532	7	70.5	26.5	53.0	68.5	38.0	clip_17
570	7	76.5	51.5	71.5	71.5	48.0	clip_18
598	9	67.5	58.5	58.5	77.0	45.0	clip_19
645	8	67.5	57.5	45.5	71.5	61.5	clip_20
674	5	75.0	48.5	59.5	66.5	33.0	clip_21
707	9	80.0	40.5	51.5	68.0	41.0	clip_22
740	7	73.5	29.0	30.5	67.5	41.0	clip_23
776	10	69.5	69.5	34.0	73.5	31.5	clip_24
803	5	68.0	65.5	37.5	72.0	31.0	clip_25
829	7	82.5	38.0	63.5	79.5	38.5	clip_26
864	6	69.0	62.0	62.0	68.5	26.0	clip_27
910	8	82.5	62.0	53.0	75.0	30.0	clip_28
955	10	87.0	27.0	78.5	78.5	28.0	clip_29
972	7	86.5	25.5	60.5	80.0	39.5	clip_30
986	6	83.0	28.0	51.5	71.0	25.5	clip_31
